Matthew 1:1     The book of the generation of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:18     Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.
Mark 1:1     The beginning of the gospel of Jesus Christ, the Son of God;
John 1:17     For the law was given by Moses, but grace and truth came by Jesus Christ.
John 17:3     And this is life eternal, that they might know thee the only true God, and Jesus Christ, whom thou hast sent.
Acts 2:38     Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost.
Acts 3:6     Then Peter said, Silver and gold have I none; but such as I have give I thee: In the name of Jesus Christ of Nazareth rise up and walk.
Acts 3:20     And he shall send Jesus Christ, which before was preached unto you:
Acts 4:10     Be it known unto you all, and to all the people of Israel, that by the name of Jesus Christ of Nazareth, whom ye crucified, whom God raised from the dead, even by him doth this man stand here before you whole.
Acts 5:42     And daily in the temple, and in every house, they ceased not to teach and preach Jesus Christ.
Acts 8:12     But when they believed Philip preaching the things concerning the kingdom of God, and the name of Jesus Christ, they were baptized, both men and women.
Acts 8:37     And Philip said, If thou believest with all thine heart, thou mayest. And he answered and said, I believe that Jesus Christ is the Son of God.
Acts 9:34     And Peter said unto him, Aeneas, Jesus Christ maketh thee whole: arise, and make thy bed. And he arose immediately.
Acts 10:36     The word which God sent unto the children of Israel, preaching peace by Jesus Christ: (he is Lord of all:)
Acts 11:17     Forasmuch then as God gave them the like gift as he did unto us, who believed on the Lord Jesus Christ; what was I, that I could withstand God?
Acts 15:11     But we believe that through the grace of the Lord Jesus Christ we shall be saved, even as they.
Acts 15:26     Men that have hazarded their lives for the name of our Lord Jesus Christ.
Acts 16:18     And this did she many days. But Paul, being grieved, turned and said to the spirit, I command thee in the name of Jesus Christ to come out of her. And he came out the same hour.
Acts 16:31     And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house.
Acts 20:21     Testifying both to the Jews, and also to the Greeks, repentance toward God, and faith toward our Lord Jesus Christ.
Acts 28:31     Preaching the kingdom of God, and teaching those things which concern the Lord Jesus Christ, with all confidence, no man forbidding him.
Romans 1:1     Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,
Romans 1:3     Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;
Romans 1:6     Among whom are ye also the called of Jesus Christ:
Romans 1:7     To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.
Romans 1:8     First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.
Romans 2:16     In the day when God shall judge the secrets of men by Jesus Christ according to my gospel.
Romans 3:22     Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference:
Romans 5:1     Therefore being justified by faith, we have peace with God through our Lord Jesus Christ:
Romans 5:11     And not only so, but we also joy in God through our Lord Jesus Christ, by whom we have now received the atonement.
Romans 5:15     But not as the offence, so also is the free gift. For if through the offence of one many be dead, much more the grace of God, and the gift by grace, which is by one man, Jesus Christ, hath abounded unto many.
Romans 5:17     For if by one man's offence death reigned by one; much more they which receive abundance of grace and of the gift of righteousness shall reign in life by one, Jesus Christ.)
Romans 5:21     That as sin hath reigned unto death, even so might grace reign through righteousness unto eternal life by Jesus Christ our Lord.
Romans 6:3     Know ye not, that so many of us as were baptized into Jesus Christ were baptized into his death?
Romans 6:11     Likewise reckon ye also yourselves to be dead indeed unto sin, but alive unto God through Jesus Christ our Lord.
Romans 6:23     For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord.
Romans 7:25     I thank God through Jesus Christ our Lord. So then with the mind I myself serve the law of God; but with the flesh the law of sin.
Romans 13:14     But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof.
Romans 15:6     That ye may with one mind and one mouth glorify God, even the Father of our Lord Jesus Christ.
Romans 15:8     Now I say that Jesus Christ was a minister of the circumcision for the truth of God, to confirm the promises made unto the fathers:
Romans 15:16     That I should be the minister of Jesus Christ to the Gentiles, ministering the gospel of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Ghost.
Romans 15:17     I have therefore whereof I may glory through Jesus Christ in those things which pertain to God.
Romans 15:30     Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me;
Romans 16:18     For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple.
Romans 16:20     And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen.
Romans 16:24     The grace of our Lord Jesus Christ be with you all. Amen.
Romans 16:25     Now to him that is of power to stablish you according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret since the world began,
Romans 16:27     To God only wise, be glory through Jesus Christ for ever. Amen.
1 Corinthians 1:1     Paul, called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,
